analysis	ppi	network	component	condition_contrast	design_contrast	direction	inference	design_con_valid	group_input_exists	expected_participants	group_input_volumes	group_input_complete	tstat_exists	corrp_exists	peak_corrp	peak_gt_threshold	status	corrp_file	copied_image	copied_sidecar	roi_values_tsv
smith09-reward_ppi-dmn-right-fpn	dmn-right-fpn	dmn-x-right-fpn	12	rtpj-minus-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.9652	true	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-right-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-right-fpn/task-rest_network-dmn-x-right-fpn_component-0012_stat-beta_contrast-rtpj-minus-vlpfc_clustere_corrp_tstat1.nii.gz	derivatives/fsl/ppi_randomise_summary/task-rest_space-MNI152NLin6Asym_desc-Smith09DmnRightFpnPpiComp0012RtpjMinusVlpfcPositiveClusterExtentCorrp_stat-corrp_statmap.nii.gz	derivatives/fsl/ppi_randomise_summary/task-rest_space-MNI152NLin6Asym_desc-Smith09DmnRightFpnPpiComp0012RtpjMinusVlpfcPositiveClusterExtentCorrp_stat-corrp_statmap.json	derivatives/fsl/ppi_randomise_summary/task-rest_space-MNI152NLin6Asym_desc-Smith09DmnRightFpnPpiComp0012RtpjMinusVlpfcPositiveClusterExtentCorrp_stat-stage2Beta_timeseries.tsv
smith09-reward_ppi-dmn-right-fpn	dmn-right-fpn	dmn-x-right-fpn	12	rtpj-minus-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.042	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-right-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-right-fpn/task-rest_network-dmn-x-right-fpn_component-0012_stat-beta_contrast-rtpj-minus-vlpfc_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-right-fpn	dmn-right-fpn	dmn-x-right-fpn	12	rtpj-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.8428	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-right-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-right-fpn/task-rest_network-dmn-x-right-fpn_component-0012_stat-beta_contrast-rtpj-minus-sham_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-right-fpn	dmn-right-fpn	dmn-x-right-fpn	12	rtpj-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.2834	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-right-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-right-fpn/task-rest_network-dmn-x-right-fpn_component-0012_stat-beta_contrast-rtpj-minus-sham_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-right-fpn	dmn-right-fpn	dmn-x-right-fpn	12	vlpfc-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.055	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-right-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-right-fpn/task-rest_network-dmn-x-right-fpn_component-0012_stat-beta_contrast-vlpfc-minus-sham_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-right-fpn	dmn-right-fpn	dmn-x-right-fpn	12	vlpfc-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.5336	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-right-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-right-fpn/task-rest_network-dmn-x-right-fpn_component-0012_stat-beta_contrast-vlpfc-minus-sham_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-right-fpn	dmn-right-fpn	dmn-x-right-fpn	12	both-minus-mean-rtpj-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.0616	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-right-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-right-fpn/task-rest_network-dmn-x-right-fpn_component-0012_stat-beta_contrast-both-minus-mean-rtpj-vlpfc_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-right-fpn	dmn-right-fpn	dmn-x-right-fpn	12	both-minus-mean-rtpj-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.2662	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-right-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-right-fpn/task-rest_network-dmn-x-right-fpn_component-0012_stat-beta_contrast-both-minus-mean-rtpj-vlpfc_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-right-fpn	dmn-right-fpn	dmn-x-right-fpn	12	mean-stimulation-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.2736	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-right-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-right-fpn/task-rest_network-dmn-x-right-fpn_component-0012_stat-beta_contrast-mean-stimulation-minus-sham_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-right-fpn	dmn-right-fpn	dmn-x-right-fpn	12	mean-stimulation-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.2784	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-right-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-right-fpn/task-rest_network-dmn-x-right-fpn_component-0012_stat-beta_contrast-mean-stimulation-minus-sham_clustere_corrp_tstat2.nii.gz			
