analysis	network	component	condition_contrast	direction	participant	run	condition	dual_regression_label	stage2_beta
smith09	ecn	8	both-minus-rtpj	negative	sub-215	03	both	subject00039	-0.373791
smith09	ecn	8	both-minus-rtpj	negative	sub-217	03	sham	subject00040	-0.669629
smith09	ecn	8	both-minus-rtpj	negative	sub-217	04	rtpj	subject00041	0.335007
smith09	ecn	8	both-minus-rtpj	negative	sub-217	01	vlpfc	subject00042	-1.926932
smith09	ecn	8	both-minus-rtpj	negative	sub-217	02	both	subject00043	-1.08177
smith09	ecn	8	both-minus-rtpj	negative	sub-218	01	sham	subject00044	-0.551079
smith09	ecn	8	both-minus-rtpj	negative	sub-218	03	rtpj	subject00045	-0.157815
smith09	ecn	8	both-minus-rtpj	negative	sub-218	02	vlpfc	subject00046	-1.108196
smith09	ecn	8	both-minus-rtpj	negative	sub-218	04	both	subject00047	-0.665817
smith09	ecn	8	both-minus-rtpj	negative	sub-219	04	sham	subject00048	-0.399068
smith09	ecn	8	both-minus-rtpj	negative	sub-219	02	rtpj	subject00049	-0.211099
smith09	ecn	8	both-minus-rtpj	negative	sub-219	03	vlpfc	subject00050	-0.419263
smith09	ecn	8	both-minus-rtpj	negative	sub-219	01	both	subject00051	-0.394718
smith09	ecn	8	both-minus-rtpj	negative	sub-220	02	sham	subject00052	0.03073
smith09	ecn	8	both-minus-rtpj	negative	sub-220	01	rtpj	subject00053	0.390086
smith09	ecn	8	both-minus-rtpj	negative	sub-220	04	vlpfc	subject00054	0.943539
smith09	ecn	8	both-minus-rtpj	negative	sub-220	03	both	subject00055	-0.142056
smith09	ecn	8	both-minus-rtpj	negative	sub-221	02	sham	subject00056	-0.607889
smith09	ecn	8	both-minus-rtpj	negative	sub-221	01	rtpj	subject00057	-0.969882
smith09	ecn	8	both-minus-rtpj	negative	sub-221	04	vlpfc	subject00058	-0.853452
smith09	ecn	8	both-minus-rtpj	negative	sub-221	03	both	subject00059	-0.607278
smith09	ecn	8	both-minus-rtpj	negative	sub-222	03	sham	subject00060	-2.966247
smith09	ecn	8	both-minus-rtpj	negative	sub-222	04	rtpj	subject00061	-1.034292
smith09	ecn	8	both-minus-rtpj	negative	sub-222	01	vlpfc	subject00062	-0.281298
smith09	ecn	8	both-minus-rtpj	negative	sub-222	02	both	subject00063	-2.811294
smith09	ecn	8	both-minus-rtpj	negative	sub-225	04	sham	subject00064	-0.512779
smith09	ecn	8	both-minus-rtpj	negative	sub-225	02	rtpj	subject00065	-0.466695
smith09	ecn	8	both-minus-rtpj	negative	sub-225	03	vlpfc	subject00066	-0.885983
smith09	ecn	8	both-minus-rtpj	negative	sub-225	01	both	subject00067	-0.493038
smith09	ecn	8	both-minus-rtpj	negative	sub-226	03	sham	subject00068	-0.193487
smith09	ecn	8	both-minus-rtpj	negative	sub-226	04	rtpj	subject00069	0.032261
smith09	ecn	8	both-minus-rtpj	negative	sub-226	01	vlpfc	subject00070	0.05994
smith09	ecn	8	both-minus-rtpj	negative	sub-226	02	both	subject00071	-0.195818
smith09	ecn	8	both-minus-rtpj	negative	sub-227	02	sham	subject00072	-0.342413
smith09	ecn	8	both-minus-rtpj	negative	sub-227	01	rtpj	subject00073	0.018089
smith09	ecn	8	both-minus-rtpj	negative	sub-227	04	vlpfc	subject00074	-0.248522
smith09	ecn	8	both-minus-rtpj	negative	sub-227	03	both	subject00075	-0.588936
smith09	ecn	8	both-minus-rtpj	negative	sub-228	01	sham	subject00076	-0.446307
smith09	ecn	8	both-minus-rtpj	negative	sub-228	03	rtpj	subject00077	-0.841632
smith09	ecn	8	both-minus-rtpj	negative	sub-228	02	vlpfc	subject00078	-0.428308
smith09	ecn	8	both-minus-rtpj	negative	sub-228	04	both	subject00079	-1.170948
smith09	ecn	8	both-minus-rtpj	negative	sub-230	01	sham	subject00080	-0.098991
smith09	ecn	8	both-minus-rtpj	negative	sub-230	03	rtpj	subject00081	0.016002
smith09	ecn	8	both-minus-rtpj	negative	sub-230	02	vlpfc	subject00082	0.326465
smith09	ecn	8	both-minus-rtpj	negative	sub-230	04	both	subject00083	-0.812611
smith09	ecn	8	both-minus-rtpj	negative	sub-231	03	sham	subject00084	0.165289
smith09	ecn	8	both-minus-rtpj	negative	sub-231	04	rtpj	subject00085	-0.09509
smith09	ecn	8	both-minus-rtpj	negative	sub-231	01	vlpfc	subject00086	-0.734201
smith09	ecn	8	both-minus-rtpj	negative	sub-231	02	both	subject00087	-0.824322
smith09	ecn	8	both-minus-rtpj	negative	sub-234	04	sham	subject00088	0.103585
smith09	ecn	8	both-minus-rtpj	negative	sub-234	02	rtpj	subject00089	0.413517
smith09	ecn	8	both-minus-rtpj	negative	sub-234	03	vlpfc	subject00090	-0.129127
smith09	ecn	8	both-minus-rtpj	negative	sub-234	01	both	subject00091	-0.479801
smith09	ecn	8	both-minus-rtpj	negative	sub-235	01	sham	subject00092	-0.928005
smith09	ecn	8	both-minus-rtpj	negative	sub-235	03	rtpj	subject00093	0.345246
smith09	ecn	8	both-minus-rtpj	negative	sub-235	02	vlpfc	subject00094	-0.132721
smith09	ecn	8	both-minus-rtpj	negative	sub-235	04	both	subject00095	-0.9991
smith09	ecn	8	both-minus-rtpj	negative	sub-236	02	sham	subject00096	-0.504922
smith09	ecn	8	both-minus-rtpj	negative	sub-236	01	rtpj	subject00097	0.027358
smith09	ecn	8	both-minus-rtpj	negative	sub-236	04	vlpfc	subject00098	-0.299789
smith09	ecn	8	both-minus-rtpj	negative	sub-236	03	both	subject00099	-0.335501
smith09	ecn	8	both-minus-rtpj	negative	sub-237	03	sham	subject00100	0.201321
smith09	ecn	8	both-minus-rtpj	negative	sub-237	04	rtpj	subject00101	0.371092
smith09	ecn	8	both-minus-rtpj	negative	sub-237	01	vlpfc	subject00102	-0.01778
smith09	ecn	8	both-minus-rtpj	negative	sub-237	02	both	subject00103	-0.523997
smith09	ecn	8	both-minus-rtpj	negative	sub-238	04	sham	subject00104	-0.480144
smith09	ecn	8	both-minus-rtpj	negative	sub-238	02	rtpj	subject00105	-0.025478
smith09	ecn	8	both-minus-rtpj	negative	sub-238	03	vlpfc	subject00106	-0.952551
smith09	ecn	8	both-minus-rtpj	negative	sub-238	01	both	subject00107	-1.219222
