participant	session	task	acquisition	run	echo	tsnr	fd_mean	source	condition	low_tsnr	tsnr_lt_threshold	high_fd_mean	fd_mean_gt_0.5	review
sub-215		rest		01		51.45	0.127464	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-215/func/sub-215_task-rest_run-01_bold.json	rtpj	false	false	false	false	false
sub-215		rest		02		53.166	0.123191	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-215/func/sub-215_task-rest_run-02_bold.json	sham	false	false	false	false	false
sub-215		rest		03		47.3393	0.170511	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-215/func/sub-215_task-rest_run-03_bold.json	both	false	false	false	false	false
sub-215		rest		04		45.9092	0.184461	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-215/func/sub-215_task-rest_run-04_bold.json	vlpfc	false	false	false	false	false
sub-217		rest		01		22.7956	0.448567	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-217/func/sub-217_task-rest_run-01_bold.json	vlpfc	false	true	false	false	true
sub-217		rest		02		30.72	0.388012	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-217/func/sub-217_task-rest_run-02_bold.json	both	false	false	false	false	false
sub-217		rest		03		34.8527	0.283262	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-217/func/sub-217_task-rest_run-03_bold.json	sham	false	false	false	false	false
sub-217		rest		04		27.5919	0.234362	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-217/func/sub-217_task-rest_run-04_bold.json	rtpj	false	true	false	false	true
sub-218		rest		01		43.3041	0.197952	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-218/func/sub-218_task-rest_run-01_bold.json	sham	false	false	false	false	false
sub-218		rest		02		19.3146	0.571959	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-218/func/sub-218_task-rest_run-02_bold.json	vlpfc	false	true	true	true	true
sub-218		rest		03		27.6108	0.496927	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-218/func/sub-218_task-rest_run-03_bold.json	rtpj	false	true	true	false	true
sub-218		rest		04		19.3742	0.760295	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-218/func/sub-218_task-rest_run-04_bold.json	both	false	true	true	true	true
sub-219		rest		01		50.6913	0.161762	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-219/func/sub-219_task-rest_run-01_bold.json	both	false	false	false	false	false
sub-219		rest		02		53.1646	0.153584	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-219/func/sub-219_task-rest_run-02_bold.json	rtpj	false	false	false	false	false
sub-219		rest		03		52.4192	0.168799	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-219/func/sub-219_task-rest_run-03_bold.json	vlpfc	false	false	false	false	false
sub-219		rest		04		51.519	0.17302	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-219/func/sub-219_task-rest_run-04_bold.json	sham	false	false	false	false	false
sub-220		rest		01		32.8991	0.0966547	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-220/func/sub-220_task-rest_run-01_bold.json	rtpj	false	false	false	false	false
sub-220		rest		02		25.5676	0.140438	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-220/func/sub-220_task-rest_run-02_bold.json	sham	false	true	false	false	true
sub-220		rest		03		31.0146	0.111669	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-220/func/sub-220_task-rest_run-03_bold.json	both	false	false	false	false	false
sub-220		rest		04		31.7739	0.114319	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-220/func/sub-220_task-rest_run-04_bold.json	vlpfc	false	false	false	false	false
sub-221		rest		01		23.8674	0.23706	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-221/func/sub-221_task-rest_run-01_bold.json	rtpj	false	true	false	false	true
sub-221		rest		02		22.1566	0.301476	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-221/func/sub-221_task-rest_run-02_bold.json	sham	false	true	false	false	true
sub-221		rest		03		24.1509	0.307146	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-221/func/sub-221_task-rest_run-03_bold.json	both	false	true	false	false	true
sub-221		rest		04		18.787	0.36085	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-221/func/sub-221_task-rest_run-04_bold.json	vlpfc	false	true	false	false	true
sub-222		rest		01		28.2628	0.388674	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-222/func/sub-222_task-rest_run-01_bold.json	vlpfc	false	true	false	false	true
sub-222		rest		02		17.4004	1.0368	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-222/func/sub-222_task-rest_run-02_bold.json	both	false	true	true	true	true
sub-222		rest		03		14.8484	1.1442	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-222/func/sub-222_task-rest_run-03_bold.json	sham	false	true	true	true	true
sub-222		rest		04		23.0498	0.358906	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-222/func/sub-222_task-rest_run-04_bold.json	rtpj	false	true	false	false	true
sub-225		rest		01		35.2013	0.152611	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-225/func/sub-225_task-rest_run-01_bold.json	both	false	false	false	false	false
sub-225		rest		02		35.0896	0.256289	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-225/func/sub-225_task-rest_run-02_bold.json	rtpj	false	false	false	false	false
sub-225		rest		03		32.8535	0.242103	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-225/func/sub-225_task-rest_run-03_bold.json	vlpfc	false	false	false	false	false
sub-225		rest		04		39.1077	0.255897	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-225/func/sub-225_task-rest_run-04_bold.json	sham	false	false	false	false	false
sub-226		rest		01		32.1584	0.203591	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-226/func/sub-226_task-rest_run-01_bold.json	vlpfc	false	false	false	false	false
sub-226		rest		02		28.2415	0.236573	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-226/func/sub-226_task-rest_run-02_bold.json	both	false	true	false	false	true
sub-226		rest		03		21.7023	0.730718	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-226/func/sub-226_task-rest_run-03_bold.json	sham	false	true	true	true	true
sub-226		rest		04		24.5536	0.52787	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-226/func/sub-226_task-rest_run-04_bold.json	rtpj	false	true	true	true	true
sub-227		rest		01		34.8526	0.266193	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-227/func/sub-227_task-rest_run-01_bold.json	rtpj	false	false	false	false	false
sub-227		rest		02		30.9446	0.316657	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-227/func/sub-227_task-rest_run-02_bold.json	sham	false	false	false	false	false
sub-227		rest		03		36.1422	0.228203	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-227/func/sub-227_task-rest_run-03_bold.json	both	false	false	false	false	false
sub-227		rest		04		31.4702	0.403131	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-227/func/sub-227_task-rest_run-04_bold.json	vlpfc	false	false	false	false	false
sub-228		rest		01		35.463	0.209188	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-228/func/sub-228_task-rest_run-01_bold.json	sham	false	false	false	false	false
sub-228		rest		02		34.6958	0.238826	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-228/func/sub-228_task-rest_run-02_bold.json	vlpfc	false	false	false	false	false
sub-228		rest		03		33.8926	0.243591	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-228/func/sub-228_task-rest_run-03_bold.json	rtpj	false	false	false	false	false
sub-228		rest		04		33.6433	0.264287	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-228/func/sub-228_task-rest_run-04_bold.json	both	false	false	false	false	false
sub-230		rest		01		47.2335	0.160665	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-230/func/sub-230_task-rest_run-01_bold.json	sham	false	false	false	false	false
sub-230		rest		02		32.8287	0.28293	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-230/func/sub-230_task-rest_run-02_bold.json	vlpfc	false	false	false	false	false
sub-230		rest		03		22.8935	0.414179	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-230/func/sub-230_task-rest_run-03_bold.json	rtpj	false	true	false	false	true
sub-230		rest		04		17.8929	0.378853	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-230/func/sub-230_task-rest_run-04_bold.json	both	false	true	false	false	true
sub-231		rest		01		49.9774	0.10905	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-231/func/sub-231_task-rest_run-01_bold.json	vlpfc	false	false	false	false	false
sub-231		rest		02		53.3704	0.105383	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-231/func/sub-231_task-rest_run-02_bold.json	both	false	false	false	false	false
sub-231		rest		03		39.3925	0.148148	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-231/func/sub-231_task-rest_run-03_bold.json	sham	false	false	false	false	false
sub-231		rest		04		42.7964	0.155143	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-231/func/sub-231_task-rest_run-04_bold.json	rtpj	false	false	false	false	false
sub-233		rest		01		46.2972	0.260782	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-233/func/sub-233_task-rest_run-01_bold.json		false	false	false	false	false
sub-233		rest		02		55.0756	0.140828	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-233/func/sub-233_task-rest_run-02_bold.json		false	false	false	false	false
sub-233		rest		03		38.6263	0.304802	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-233/func/sub-233_task-rest_run-03_bold.json		false	false	false	false	false
sub-233		rest		04		48.4229	0.187402	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-233/func/sub-233_task-rest_run-04_bold.json		false	false	false	false	false
sub-234		rest		01		38.9195	0.26302	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-234/func/sub-234_task-rest_run-01_bold.json	both	false	false	false	false	false
sub-234		rest		02		41.8246	0.262796	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-234/func/sub-234_task-rest_run-02_bold.json	rtpj	false	false	false	false	false
sub-234		rest		03		42.0065	0.253036	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-234/func/sub-234_task-rest_run-03_bold.json	vlpfc	false	false	false	false	false
sub-234		rest		04		40.4287	0.25948	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-234/func/sub-234_task-rest_run-04_bold.json	sham	false	false	false	false	false
sub-235		rest		01		24.7034	0.15147	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-235/func/sub-235_task-rest_run-01_bold.json	sham	false	true	false	false	true
sub-235		rest		02		20.6414	0.213692	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-235/func/sub-235_task-rest_run-02_bold.json	vlpfc	false	true	false	false	true
sub-235		rest		03		22.1865	0.167583	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-235/func/sub-235_task-rest_run-03_bold.json	rtpj	false	true	false	false	true
sub-235		rest		04		20.8951	0.198448	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-235/func/sub-235_task-rest_run-04_bold.json	both	false	true	false	false	true
sub-236		rest		01		48.7629	0.0930527	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-236/func/sub-236_task-rest_run-01_bold.json	rtpj	false	false	false	false	false
sub-236		rest		02		52.9381	0.0809034	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-236/func/sub-236_task-rest_run-02_bold.json	sham	false	false	false	false	false
sub-236		rest		03		27.2634	0.126149	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-236/func/sub-236_task-rest_run-03_bold.json	both	false	true	false	false	true
sub-236		rest		04		51.4531	0.101158	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-236/func/sub-236_task-rest_run-04_bold.json	vlpfc	false	false	false	false	false
sub-237		rest		01		51.5611	0.158099	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-237/func/sub-237_task-rest_run-01_bold.json	vlpfc	false	false	false	false	false
sub-237		rest		02		44.7984	0.207967	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-237/func/sub-237_task-rest_run-02_bold.json	both	false	false	false	false	false
sub-237		rest		03		42.3351	0.23963	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-237/func/sub-237_task-rest_run-03_bold.json	sham	false	false	false	false	false
sub-237		rest		04		41.5131	0.190321	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-237/func/sub-237_task-rest_run-04_bold.json	rtpj	false	false	false	false	false
sub-238		rest		01		39.7962	0.231944	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-238/func/sub-238_task-rest_run-01_bold.json	both	false	false	false	false	false
sub-238		rest		02		29.3971	0.287086	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-238/func/sub-238_task-rest_run-02_bold.json	rtpj	false	true	false	false	true
sub-238		rest		03		20.2803	0.437557	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-238/func/sub-238_task-rest_run-03_bold.json	vlpfc	false	true	false	false	true
sub-238		rest		04		20.1607	0.659705	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-238/func/sub-238_task-rest_run-04_bold.json	sham	false	true	true	true	true
