participant	contrast	condition_a	condition_b	complete	a_tsnr	b_tsnr	delta_tsnr	a_fd_mean	b_fd_mean	delta_fd_mean	delta_tsnr_outlier	delta_fd_mean_outlier	n_delta_outliers	review
sub-221	vlpfc_minus_sham	vlpfc	sham	true	18.787	22.1566	-3.3696	0.36085	0.301476	0.059374	false	false	0	false
sub-221	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	24.1509	21.3272	2.8237	0.307146	0.298955	0.008191	false	false	0	false
sub-222	both_minus_sham	both	sham	true	17.4004	14.8484	2.552	1.0368	1.1442	-0.1074	false	false	0	false
sub-222	both_minus_rtpj	both	rtpj	true	17.4004	23.0498	-5.6494	1.0368	0.358906	0.677894	false	true	1	true
sub-222	both_minus_vlpfc	both	vlpfc	true	17.4004	28.2628	-10.8624	1.0368	0.388674	0.648126	false	true	1	true
sub-222	rtpj_minus_vlpfc	rtpj	vlpfc	true	23.0498	28.2628	-5.213	0.358906	0.388674	-0.029768	false	false	0	false
sub-222	rtpj_minus_sham	rtpj	sham	true	23.0498	14.8484	8.2014	0.358906	1.1442	-0.785294	false	true	1	true
sub-222	vlpfc_minus_sham	vlpfc	sham	true	28.2628	14.8484	13.4144	0.388674	1.1442	-0.755526	true	true	2	true
sub-222	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	17.4004	25.6563	-8.2559	1.0368	0.37379	0.66301	false	true	1	true
sub-225	both_minus_sham	both	sham	true	35.2013	39.1077	-3.9064	0.152611	0.255897	-0.103286	false	false	0	false
sub-225	both_minus_rtpj	both	rtpj	true	35.2013	35.0896	0.1117	0.152611	0.256289	-0.103678	false	false	0	false
sub-225	both_minus_vlpfc	both	vlpfc	true	35.2013	32.8535	2.3478	0.152611	0.242103	-0.089492	false	false	0	false
sub-225	rtpj_minus_vlpfc	rtpj	vlpfc	true	35.0896	32.8535	2.2361	0.256289	0.242103	0.014186	false	false	0	false
sub-225	rtpj_minus_sham	rtpj	sham	true	35.0896	39.1077	-4.0181	0.256289	0.255897	0.000392	false	false	0	false
sub-225	vlpfc_minus_sham	vlpfc	sham	true	32.8535	39.1077	-6.2542	0.242103	0.255897	-0.013794	false	false	0	false
sub-225	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	35.2013	33.9715	1.22975	0.152611	0.249196	-0.096585	false	false	0	false
sub-226	both_minus_sham	both	sham	true	28.2415	21.7023	6.5392	0.236573	0.730718	-0.494145	false	true	1	true
sub-226	both_minus_rtpj	both	rtpj	true	28.2415	24.5536	3.6879	0.236573	0.52787	-0.291297	false	true	1	true
sub-226	both_minus_vlpfc	both	vlpfc	true	28.2415	32.1584	-3.9169	0.236573	0.203591	0.032982	false	false	0	false
sub-226	rtpj_minus_vlpfc	rtpj	vlpfc	true	24.5536	32.1584	-7.6048	0.52787	0.203591	0.324279	false	true	1	true
sub-226	rtpj_minus_sham	rtpj	sham	true	24.5536	21.7023	2.8513	0.52787	0.730718	-0.202848	false	true	1	true
sub-226	vlpfc_minus_sham	vlpfc	sham	true	32.1584	21.7023	10.4561	0.203591	0.730718	-0.527127	true	true	2	true
sub-226	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	28.2415	28.356	-0.1145	0.236573	0.36573	-0.129157	false	true	1	true
sub-227	both_minus_sham	both	sham	true	36.1422	30.9446	5.1976	0.228203	0.316657	-0.088454	false	false	0	false
sub-227	both_minus_rtpj	both	rtpj	true	36.1422	34.8526	1.2896	0.228203	0.266193	-0.03799	false	false	0	false
sub-227	both_minus_vlpfc	both	vlpfc	true	36.1422	31.4702	4.672	0.228203	0.403131	-0.174928	false	true	1	true
sub-227	rtpj_minus_vlpfc	rtpj	vlpfc	true	34.8526	31.4702	3.3824	0.266193	0.403131	-0.136938	false	false	0	false
sub-227	rtpj_minus_sham	rtpj	sham	true	34.8526	30.9446	3.908	0.266193	0.316657	-0.050464	false	false	0	false
sub-227	vlpfc_minus_sham	vlpfc	sham	true	31.4702	30.9446	0.5256	0.403131	0.316657	0.086474	false	false	0	false
sub-227	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	36.1422	33.1614	2.9808	0.228203	0.334662	-0.106459	false	false	0	false
sub-228	both_minus_sham	both	sham	true	33.6433	35.463	-1.8197	0.264287	0.209188	0.055099	false	false	0	false
sub-228	both_minus_rtpj	both	rtpj	true	33.6433	33.8926	-0.2493	0.264287	0.243591	0.020696	false	false	0	false
sub-228	both_minus_vlpfc	both	vlpfc	true	33.6433	34.6958	-1.0525	0.264287	0.238826	0.025461	false	false	0	false
sub-228	rtpj_minus_vlpfc	rtpj	vlpfc	true	33.8926	34.6958	-0.8032	0.243591	0.238826	0.004765	false	false	0	false
sub-228	rtpj_minus_sham	rtpj	sham	true	33.8926	35.463	-1.5704	0.243591	0.209188	0.034403	false	false	0	false
sub-228	vlpfc_minus_sham	vlpfc	sham	true	34.6958	35.463	-0.7672	0.238826	0.209188	0.029638	false	false	0	false
sub-228	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	33.6433	34.2942	-0.6509	0.264287	0.241208	0.0230785	false	false	0	false
sub-230	both_minus_sham	both	sham	true	17.8929	47.2335	-29.3406	0.378853	0.160665	0.218188	true	true	2	true
sub-230	both_minus_rtpj	both	rtpj	true	17.8929	22.8935	-5.0006	0.378853	0.414179	-0.035326	false	false	0	false
sub-230	both_minus_vlpfc	both	vlpfc	true	17.8929	32.8287	-14.9358	0.378853	0.28293	0.095923	true	false	1	true
sub-230	rtpj_minus_vlpfc	rtpj	vlpfc	true	22.8935	32.8287	-9.9352	0.414179	0.28293	0.131249	false	false	0	false
sub-230	rtpj_minus_sham	rtpj	sham	true	22.8935	47.2335	-24.34	0.414179	0.160665	0.253514	true	true	2	true
sub-230	vlpfc_minus_sham	vlpfc	sham	true	32.8287	47.2335	-14.4048	0.28293	0.160665	0.122265	true	false	1	true
sub-230	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	17.8929	27.8611	-9.9682	0.378853	0.348554	0.0302985	false	false	0	false
sub-231	both_minus_sham	both	sham	true	53.3704	39.3925	13.9779	0.105383	0.148148	-0.042765	false	false	0	false
sub-231	both_minus_rtpj	both	rtpj	true	53.3704	42.7964	10.574	0.105383	0.155143	-0.04976	false	false	0	false
sub-231	both_minus_vlpfc	both	vlpfc	true	53.3704	49.9774	3.393	0.105383	0.10905	-0.003667	false	false	0	false
sub-231	rtpj_minus_vlpfc	rtpj	vlpfc	true	42.7964	49.9774	-7.181	0.155143	0.10905	0.046093	false	false	0	false
sub-231	rtpj_minus_sham	rtpj	sham	true	42.7964	39.3925	3.4039	0.155143	0.148148	0.006995	false	false	0	false
sub-231	vlpfc_minus_sham	vlpfc	sham	true	49.9774	39.3925	10.5849	0.10905	0.148148	-0.039098	true	false	1	true
sub-231	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	53.3704	46.3869	6.9835	0.105383	0.132097	-0.0267135	false	false	0	false
sub-233	both_minus_sham	both	sham	false	n/a	n/a	n/a	n/a	n/a	n/a	false	false	0	true
sub-233	both_minus_rtpj	both	rtpj	false	n/a	n/a	n/a	n/a	n/a	n/a	false	false	0	true
sub-233	both_minus_vlpfc	both	vlpfc	false	n/a	n/a	n/a	n/a	n/a	n/a	false	false	0	true
sub-233	rtpj_minus_vlpfc	rtpj	vlpfc	false	n/a	n/a	n/a	n/a	n/a	n/a	false	false	0	true
sub-233	rtpj_minus_sham	rtpj	sham	false	n/a	n/a	n/a	n/a	n/a	n/a	false	false	0	true
sub-233	vlpfc_minus_sham	vlpfc	sham	false	n/a	n/a	n/a	n/a	n/a	n/a	false	false	0	true
sub-233	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	false	n/a	n/a	n/a	n/a	n/a	n/a	false	false	0	true
sub-234	both_minus_sham	both	sham	true	38.9195	40.4287	-1.5092	0.26302	0.25948	0.00354	false	false	0	false
sub-234	both_minus_rtpj	both	rtpj	true	38.9195	41.8246	-2.9051	0.26302	0.262796	0.000224	false	false	0	false
sub-234	both_minus_vlpfc	both	vlpfc	true	38.9195	42.0065	-3.087	0.26302	0.253036	0.009984	false	false	0	false
sub-234	rtpj_minus_vlpfc	rtpj	vlpfc	true	41.8246	42.0065	-0.1819	0.262796	0.253036	0.00976	false	false	0	false
sub-234	rtpj_minus_sham	rtpj	sham	true	41.8246	40.4287	1.3959	0.262796	0.25948	0.003316	false	false	0	false
sub-234	vlpfc_minus_sham	vlpfc	sham	true	42.0065	40.4287	1.5778	0.253036	0.25948	-0.006444	false	false	0	false
sub-234	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	38.9195	41.9155	-2.99605	0.26302	0.257916	0.005104	false	false	0	false
sub-235	both_minus_sham	both	sham	true	20.8951	24.7034	-3.8083	0.198448	0.15147	0.046978	false	false	0	false
sub-235	both_minus_rtpj	both	rtpj	true	20.8951	22.1865	-1.2914	0.198448	0.167583	0.030865	false	false	0	false
sub-235	both_minus_vlpfc	both	vlpfc	true	20.8951	20.6414	0.2537	0.198448	0.213692	-0.015244	false	false	0	false
sub-235	rtpj_minus_vlpfc	rtpj	vlpfc	true	22.1865	20.6414	1.5451	0.167583	0.213692	-0.046109	false	false	0	false
sub-235	rtpj_minus_sham	rtpj	sham	true	22.1865	24.7034	-2.5169	0.167583	0.15147	0.016113	false	false	0	false
sub-235	vlpfc_minus_sham	vlpfc	sham	true	20.6414	24.7034	-4.062	0.213692	0.15147	0.062222	false	false	0	false
sub-235	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	20.8951	21.4139	-0.51885	0.198448	0.190638	0.0078105	false	false	0	false
sub-236	both_minus_sham	both	sham	true	27.2634	52.9381	-25.6747	0.126149	0.0809034	0.0452456	true	false	1	true
sub-236	both_minus_rtpj	both	rtpj	true	27.2634	48.7629	-21.4995	0.126149	0.0930527	0.0330963	true	false	1	true
sub-236	both_minus_vlpfc	both	vlpfc	true	27.2634	51.4531	-24.1897	0.126149	0.101158	0.024991	true	false	1	true
sub-236	rtpj_minus_vlpfc	rtpj	vlpfc	true	48.7629	51.4531	-2.6902	0.0930527	0.101158	-0.0081053	false	false	0	false
sub-236	rtpj_minus_sham	rtpj	sham	true	48.7629	52.9381	-4.1752	0.0930527	0.0809034	0.0121493	false	false	0	false
sub-236	vlpfc_minus_sham	vlpfc	sham	true	51.4531	52.9381	-1.485	0.101158	0.0809034	0.0202546	false	false	0	false
sub-236	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	27.2634	50.108	-22.8446	0.126149	0.0971054	0.0290437	true	false	1	true
sub-237	both_minus_sham	both	sham	true	44.7984	42.3351	2.4633	0.207967	0.23963	-0.031663	false	false	0	false
sub-237	both_minus_rtpj	both	rtpj	true	44.7984	41.5131	3.2853	0.207967	0.190321	0.017646	false	false	0	false
sub-237	both_minus_vlpfc	both	vlpfc	true	44.7984	51.5611	-6.7627	0.207967	0.158099	0.049868	false	false	0	false
sub-237	rtpj_minus_vlpfc	rtpj	vlpfc	true	41.5131	51.5611	-10.048	0.190321	0.158099	0.032222	false	false	0	false
sub-237	rtpj_minus_sham	rtpj	sham	true	41.5131	42.3351	-0.822	0.190321	0.23963	-0.049309	false	false	0	false
sub-237	vlpfc_minus_sham	vlpfc	sham	true	51.5611	42.3351	9.226	0.158099	0.23963	-0.081531	false	false	0	false
sub-237	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	44.7984	46.5371	-1.7387	0.207967	0.17421	0.033757	false	false	0	false
sub-238	both_minus_sham	both	sham	true	39.7962	20.1607	19.6355	0.231944	0.659705	-0.427761	true	true	2	true
sub-238	both_minus_rtpj	both	rtpj	true	39.7962	29.3971	10.3991	0.231944	0.287086	-0.055142	false	false	0	false
sub-238	both_minus_vlpfc	both	vlpfc	true	39.7962	20.2803	19.5159	0.231944	0.437557	-0.205613	true	true	2	true
sub-238	rtpj_minus_vlpfc	rtpj	vlpfc	true	29.3971	20.2803	9.1168	0.287086	0.437557	-0.150471	false	false	0	false
sub-238	rtpj_minus_sham	rtpj	sham	true	29.3971	20.1607	9.2364	0.287086	0.659705	-0.372619	false	true	1	true
sub-238	vlpfc_minus_sham	vlpfc	sham	true	20.2803	20.1607	0.1196	0.437557	0.659705	-0.222148	false	true	1	true
sub-238	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	39.7962	24.8387	14.9575	0.231944	0.362321	-0.130377	true	true	2	true
