participant	run	condition	volumes	dim1	dim2	dim3	pixdim1	pixdim2	pixdim3	brain_mask_voxels	varying_voxels	varying_fraction	outside_mask_abs_max	confound_columns	pre_mean_temporal_sd	post_mean_temporal_sd	temporal_sd_ratio	data_min	data_max	data_mean	data_sd	status	file
sub-207	04	vlpfc	240	52	64	54	3.000000	3.000000	3.000000	67762	67762	1.000000	0.000000	38	18.041260	13.386672	0.742003	-165.786194	241.776840	0.000000	13.738626	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-207/func/sub-207_task-rest_run-04_space-MNI152NLin6Asym_condition-vlpfc_order-03_desc-denoised_bold_5mm.nii.gz
sub-207	03	both	240	52	64	54	3.000000	3.000000	3.000000	68471	68471	1.000000	0.000000	37	17.096140	13.312939	0.778710	-158.916275	235.724640	0.000000	13.664993	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-207/func/sub-207_task-rest_run-03_space-MNI152NLin6Asym_condition-both_order-04_desc-denoised_bold_5mm.nii.gz
sub-208	04	sham	240	52	64	54	3.000000	3.000000	3.000000	63377	63377	1.000000	0.000000	38	12.156632	7.453389	0.613113	-170.520950	185.599380	-0.000000	8.009290	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-208/func/sub-208_task-rest_run-04_space-MNI152NLin6Asym_condition-sham_order-01_desc-denoised_bold_5mm.nii.gz
sub-208	02	rtpj	240	52	64	54	3.000000	3.000000	3.000000	64649	64649	1.000000	0.000000	37	12.599854	6.915575	0.548862	-136.304428	158.456680	-0.000000	7.285962	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-208/func/sub-208_task-rest_run-02_space-MNI152NLin6Asym_condition-rtpj_order-02_desc-denoised_bold_5mm.nii.gz
sub-208	03	vlpfc	240	52	64	54	3.000000	3.000000	3.000000	64066	64066	1.000000	0.000000	39	13.894818	7.243304	0.521295	-149.763412	135.830994	0.000000	7.731071	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-208/func/sub-208_task-rest_run-03_space-MNI152NLin6Asym_condition-vlpfc_order-03_desc-denoised_bold_5mm.nii.gz
sub-208	01	both	240	52	64	54	3.000000	3.000000	3.000000	64934	64934	1.000000	0.000000	37	11.136003	6.827363	0.613089	-128.749222	156.842346	-0.000000	7.189218	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-208/func/sub-208_task-rest_run-01_space-MNI152NLin6Asym_condition-both_order-04_desc-denoised_bold_5mm.nii.gz
sub-209	01	sham	240	52	64	54	3.000000	3.000000	3.000000	69264	69264	1.000000	0.000000	37	20.825551	12.247565	0.588103	-337.590637	243.030472	0.000000	13.439656	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-209/func/sub-209_task-rest_run-01_space-MNI152NLin6Asym_condition-sham_order-01_desc-denoised_bold_5mm.nii.gz
sub-209	03	rtpj	240	52	64	54	3.000000	3.000000	3.000000	68435	68435	1.000000	0.000000	38	27.352880	12.977756	0.474457	-404.214569	374.846741	-0.000000	14.707854	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-209/func/sub-209_task-rest_run-03_space-MNI152NLin6Asym_condition-rtpj_order-02_desc-denoised_bold_5mm.nii.gz
sub-209	02	vlpfc	240	52	64	54	3.000000	3.000000	3.000000	67991	67991	1.000000	0.000000	37	25.510953	14.258292	0.558909	-371.459412	455.838287	-0.000000	16.464654	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-209/func/sub-209_task-rest_run-02_space-MNI152NLin6Asym_condition-vlpfc_order-03_desc-denoised_bold_5mm.nii.gz
sub-209	04	both	240	52	64	54	3.000000	3.000000	3.000000	67955	67955	1.000000	0.000000	38	20.517341	11.498706	0.560438	-305.486237	350.634674	-0.000000	12.952287	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-209/func/sub-209_task-rest_run-04_space-MNI152NLin6Asym_condition-both_order-04_desc-denoised_bold_5mm.nii.gz
sub-210	03	sham	240	52	64	54	3.000000	3.000000	3.000000	61160	61160	1.000000	0.000000	39	11.779106	6.463645	0.548738	-150.325195	113.867348	-0.000000	6.772887	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-210/func/sub-210_task-rest_run-03_space-MNI152NLin6Asym_condition-sham_order-01_desc-denoised_bold_5mm.nii.gz
sub-210	04	rtpj	240	52	64	54	3.000000	3.000000	3.000000	61353	61353	1.000000	0.000000	40	12.672507	6.292955	0.496583	-113.092026	124.681114	0.000000	6.609214	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-210/func/sub-210_task-rest_run-04_space-MNI152NLin6Asym_condition-rtpj_order-02_desc-denoised_bold_5mm.nii.gz
sub-210	01	vlpfc	240	52	64	54	3.000000	3.000000	3.000000	63615	63615	1.000000	0.000000	37	11.964192	6.646222	0.555509	-111.978416	126.936287	0.000000	7.003178	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-210/func/sub-210_task-rest_run-01_space-MNI152NLin6Asym_condition-vlpfc_order-03_desc-denoised_bold_5mm.nii.gz
sub-210	02	both	240	52	64	54	3.000000	3.000000	3.000000	62565	62565	1.000000	0.000000	37	14.739978	7.136786	0.484179	-145.471680	168.697388	-0.000000	7.664975	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-210/func/sub-210_task-rest_run-02_space-MNI152NLin6Asym_condition-both_order-04_desc-denoised_bold_5mm.nii.gz
sub-211	04	sham	240	52	64	54	3.000000	3.000000	3.000000	67404	67404	1.000000	0.000000	38	10.231955	6.512923	0.636528	-189.722366	167.799545	-0.000000	6.857583	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-211/func/sub-211_task-rest_run-04_space-MNI152NLin6Asym_condition-sham_order-01_desc-denoised_bold_5mm.nii.gz
sub-211	02	rtpj	240	52	64	54	3.000000	3.000000	3.000000	67144	67144	1.000000	0.000000	38	12.219313	6.661251	0.545141	-153.527695	324.429718	-0.000000	7.050114	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-211/func/sub-211_task-rest_run-02_space-MNI152NLin6Asym_condition-rtpj_order-02_desc-denoised_bold_5mm.nii.gz
sub-211	03	vlpfc	240	52	64	54	3.000000	3.000000	3.000000	67125	67125	1.000000	0.000000	37	10.117433	6.471052	0.639594	-166.564880	233.385406	-0.000000	6.813815	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-211/func/sub-211_task-rest_run-03_space-MNI152NLin6Asym_condition-vlpfc_order-03_desc-denoised_bold_5mm.nii.gz
sub-211	01	both	240	52	64	54	3.000000	3.000000	3.000000	67395	67395	1.000000	0.000000	37	10.382158	6.426174	0.618963	-153.766174	198.521088	0.000000	6.782181	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-211/func/sub-211_task-rest_run-01_space-MNI152NLin6Asym_condition-both_order-04_desc-denoised_bold_5mm.nii.gz
sub-213	01	sham	240	52	64	54	3.000000	3.000000	3.000000	71771	71771	1.000000	0.000000	38	12.712126	6.939921	0.545929	-243.596985	316.951141	-0.000000	7.649924	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-213/func/sub-213_task-rest_run-01_space-MNI152NLin6Asym_condition-sham_order-01_desc-denoised_bold_5mm.nii.gz
sub-213	03	rtpj	240	52	64	54	3.000000	3.000000	3.000000	70998	70998	1.000000	0.000000	37	11.985316	6.983602	0.582680	-261.255585	304.031097	0.000000	7.635343	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-213/func/sub-213_task-rest_run-03_space-MNI152NLin6Asym_condition-rtpj_order-02_desc-denoised_bold_5mm.nii.gz
sub-213	02	vlpfc	240	52	64	54	3.000000	3.000000	3.000000	70569	70569	1.000000	0.000000	38	12.670017	6.960377	0.549358	-170.767685	210.825394	-0.000000	7.556115	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-213/func/sub-213_task-rest_run-02_space-MNI152NLin6Asym_condition-vlpfc_order-03_desc-denoised_bold_5mm.nii.gz
sub-213	04	both	240	52	64	54	3.000000	3.000000	3.000000	71114	71114	1.000000	0.000000	38	12.584845	6.878443	0.546566	-177.473984	212.622681	-0.000000	7.386664	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-213/func/sub-213_task-rest_run-04_space-MNI152NLin6Asym_condition-both_order-04_desc-denoised_bold_5mm.nii.gz
sub-214	04	sham	240	52	64	54	3.000000	3.000000	3.000000	71322	71322	1.000000	0.000000	40	11.768885	9.110984	0.774159	-128.614319	130.535629	0.000000	9.319856	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-214/func/sub-214_task-rest_run-04_space-MNI152NLin6Asym_condition-sham_order-01_desc-denoised_bold_5mm.nii.gz
sub-214	02	rtpj	240	52	64	54	3.000000	3.000000	3.000000	70910	70910	1.000000	0.000000	38	16.057945	10.171809	0.633444	-176.356293	242.159149	-0.000000	10.496393	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-214/func/sub-214_task-rest_run-02_space-MNI152NLin6Asym_condition-rtpj_order-02_desc-denoised_bold_5mm.nii.gz
sub-214	03	vlpfc	240	52	64	54	3.000000	3.000000	3.000000	71088	71088	1.000000	0.000000	38	12.969223	9.094123	0.701208	-129.044449	138.583878	0.000000	9.291313	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-214/func/sub-214_task-rest_run-03_space-MNI152NLin6Asym_condition-vlpfc_order-03_desc-denoised_bold_5mm.nii.gz
sub-214	01	both	240	52	64	54	3.000000	3.000000	3.000000	72612	72612	1.000000	0.000000	38	14.680399	9.788786	0.666793	-162.542465	149.206726	0.000000	10.045773	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-214/func/sub-214_task-rest_run-01_space-MNI152NLin6Asym_condition-both_order-04_desc-denoised_bold_5mm.nii.gz
sub-215	02	sham	240	52	64	54	3.000000	3.000000	3.000000	71180	71180	1.000000	0.000000	38	11.687505	6.780044	0.580110	-129.257721	116.576279	0.000000	7.161837	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-215/func/sub-215_task-rest_run-02_space-MNI152NLin6Asym_condition-sham_order-01_desc-denoised_bold_5mm.nii.gz
sub-215	01	rtpj	240	52	64	54	3.000000	3.000000	3.000000	71238	71238	1.000000	0.000000	38	11.393577	6.699766	0.588030	-107.969933	123.733902	0.000000	7.079712	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-215/func/sub-215_task-rest_run-01_space-MNI152NLin6Asym_condition-rtpj_order-02_desc-denoised_bold_5mm.nii.gz
sub-215	04	vlpfc	240	52	64	54	3.000000	3.000000	3.000000	71949	71949	1.000000	0.000000	39	13.867918	7.387271	0.532688	-203.751648	244.022507	0.000000	7.959530	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-215/func/sub-215_task-rest_run-04_space-MNI152NLin6Asym_condition-vlpfc_order-03_desc-denoised_bold_5mm.nii.gz
sub-215	03	both	240	52	64	54	3.000000	3.000000	3.000000	72081	72081	1.000000	0.000000	38	13.349025	7.240845	0.542425	-175.774765	198.922409	-0.000000	7.793499	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-215/func/sub-215_task-rest_run-03_space-MNI152NLin6Asym_condition-both_order-04_desc-denoised_bold_5mm.nii.gz
sub-217	03	sham	240	52	64	54	3.000000	3.000000	3.000000	73664	73664	1.000000	0.000000	38	14.970496	9.529290	0.636538	-207.484222	135.113327	0.000000	9.946234	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-217/func/sub-217_task-rest_run-03_space-MNI152NLin6Asym_condition-sham_order-01_desc-denoised_bold_5mm.nii.gz
sub-217	04	rtpj	240	52	64	54	3.000000	3.000000	3.000000	72856	72856	1.000000	0.000000	38	16.028053	8.910828	0.555952	-114.032677	123.926247	0.000000	9.283152	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-217/func/sub-217_task-rest_run-04_space-MNI152NLin6Asym_condition-rtpj_order-02_desc-denoised_bold_5mm.nii.gz
sub-217	01	vlpfc	240	52	64	54	3.000000	3.000000	3.000000	73414	73414	1.000000	0.000000	37	21.041320	11.785580	0.560116	-208.662842	186.187820	0.000000	12.545208	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-217/func/sub-217_task-rest_run-01_space-MNI152NLin6Asym_condition-vlpfc_order-03_desc-denoised_bold_5mm.nii.gz
sub-217	02	both	240	52	64	54	3.000000	3.000000	3.000000	74721	74721	1.000000	0.000000	37	18.601838	11.026370	0.592757	-221.825500	282.232971	0.000000	11.665959	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-217/func/sub-217_task-rest_run-02_space-MNI152NLin6Asym_condition-both_order-04_desc-denoised_bold_5mm.nii.gz
sub-218	01	sham	240	52	64	54	3.000000	3.000000	3.000000	70903	70903	1.000000	0.000000	37	14.231267	8.220615	0.577645	-156.512344	199.338730	-0.000000	8.696395	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-218/func/sub-218_task-rest_run-01_space-MNI152NLin6Asym_condition-sham_order-01_desc-denoised_bold_5mm.nii.gz
sub-218	03	rtpj	240	52	64	54	3.000000	3.000000	3.000000	68875	68875	1.000000	0.000000	37	18.622597	9.810734	0.526819	-420.987915	251.947861	-0.000000	10.659795	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-218/func/sub-218_task-rest_run-03_space-MNI152NLin6Asym_condition-rtpj_order-02_desc-denoised_bold_5mm.nii.gz
sub-218	02	vlpfc	240	52	64	54	3.000000	3.000000	3.000000	71154	71154	1.000000	0.000000	37	24.421221	11.177324	0.457689	-311.353119	258.024536	-0.000000	12.262738	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-218/func/sub-218_task-rest_run-02_space-MNI152NLin6Asym_condition-vlpfc_order-03_desc-denoised_bold_5mm.nii.gz
sub-218	04	both	240	52	64	54	3.000000	3.000000	3.000000	70937	70937	1.000000	0.000000	38	25.667294	11.655817	0.454112	-362.994049	432.979889	0.000000	13.066095	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-218/func/sub-218_task-rest_run-04_space-MNI152NLin6Asym_condition-both_order-04_desc-denoised_bold_5mm.nii.gz
sub-219	04	sham	240	52	64	54	3.000000	3.000000	3.000000	69996	69996	1.000000	0.000000	37	11.667095	7.469113	0.640186	-173.067657	182.416687	-0.000000	7.968827	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-219/func/sub-219_task-rest_run-04_space-MNI152NLin6Asym_condition-sham_order-01_desc-denoised_bold_5mm.nii.gz
sub-219	02	rtpj	240	52	64	54	3.000000	3.000000	3.000000	70157	70157	1.000000	0.000000	39	11.251545	7.500473	0.666617	-230.064743	197.437988	-0.000000	8.075328	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-219/func/sub-219_task-rest_run-02_space-MNI152NLin6Asym_condition-rtpj_order-02_desc-denoised_bold_5mm.nii.gz
sub-219	03	vlpfc	240	52	64	54	3.000000	3.000000	3.000000	69668	69668	1.000000	0.000000	38	11.684659	7.225380	0.618365	-187.187378	178.771103	-0.000000	7.699290	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-219/func/sub-219_task-rest_run-03_space-MNI152NLin6Asym_condition-vlpfc_order-03_desc-denoised_bold_5mm.nii.gz
sub-219	01	both	240	52	64	54	3.000000	3.000000	3.000000	70189	70189	1.000000	0.000000	37	12.400883	7.183563	0.579278	-206.510010	195.137558	0.000000	7.716012	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-219/func/sub-219_task-rest_run-01_space-MNI152NLin6Asym_condition-both_order-04_desc-denoised_bold_5mm.nii.gz
sub-220	02	sham	240	52	64	54	3.000000	3.000000	3.000000	69835	69835	1.000000	0.000000	41	16.817439	9.942764	0.591217	-141.870392	201.168365	-0.000000	10.271671	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-220/func/sub-220_task-rest_run-02_space-MNI152NLin6Asym_condition-sham_order-01_desc-denoised_bold_5mm.nii.gz
sub-220	01	rtpj	240	52	64	54	3.000000	3.000000	3.000000	66265	66265	1.000000	0.000000	38	13.048766	9.366469	0.717805	-140.636597	155.123764	-0.000000	9.674298	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-220/func/sub-220_task-rest_run-01_space-MNI152NLin6Asym_condition-rtpj_order-02_desc-denoised_bold_5mm.nii.gz
sub-220	04	vlpfc	240	52	64	54	3.000000	3.000000	3.000000	65898	65898	1.000000	0.000000	38	13.389448	9.239237	0.690039	-155.304932	126.646332	-0.000000	9.524839	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-220/func/sub-220_task-rest_run-04_space-MNI152NLin6Asym_condition-vlpfc_order-03_desc-denoised_bold_5mm.nii.gz
sub-220	03	both	240	52	64	54	3.000000	3.000000	3.000000	67677	67677	1.000000	0.000000	38	13.249170	9.757596	0.736468	-117.418869	121.397675	0.000000	10.021782	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-220/func/sub-220_task-rest_run-03_space-MNI152NLin6Asym_condition-both_order-04_desc-denoised_bold_5mm.nii.gz
sub-221	02	sham	240	52	64	54	3.000000	3.000000	3.000000	68674	68674	1.000000	0.000000	37	12.595038	7.449799	0.591487	-207.900604	205.951004	-0.000000	7.684828	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-221/func/sub-221_task-rest_run-02_space-MNI152NLin6Asym_condition-sham_order-01_desc-denoised_bold_5mm.nii.gz
sub-221	01	rtpj	240	52	64	54	3.000000	3.000000	3.000000	66988	66988	1.000000	0.000000	38	10.750960	7.072571	0.657855	-212.722839	182.667038	-0.000000	7.255330	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-221/func/sub-221_task-rest_run-01_space-MNI152NLin6Asym_condition-rtpj_order-02_desc-denoised_bold_5mm.nii.gz
sub-221	04	vlpfc	240	52	64	54	3.000000	3.000000	3.000000	68389	68389	1.000000	0.000000	37	14.843799	7.577431	0.510478	-196.911011	217.479233	-0.000000	7.814004	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-221/func/sub-221_task-rest_run-04_space-MNI152NLin6Asym_condition-vlpfc_order-03_desc-denoised_bold_5mm.nii.gz
sub-221	03	both	240	52	64	54	3.000000	3.000000	3.000000	67845	67845	1.000000	0.000000	41	11.987311	7.743689	0.645990	-246.439896	246.335449	-0.000000	8.000179	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-221/func/sub-221_task-rest_run-03_space-MNI152NLin6Asym_condition-both_order-04_desc-denoised_bold_5mm.nii.gz
sub-222	03	sham	240	52	64	54	3.000000	3.000000	3.000000	59112	59112	1.000000	0.000000	37	49.133591	19.233341	0.391450	-669.059265	863.822815	-0.000000	24.787876	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-222/func/sub-222_task-rest_run-03_space-MNI152NLin6Asym_condition-sham_order-01_desc-denoised_bold_5mm.nii.gz
sub-222	04	rtpj	240	52	64	54	3.000000	3.000000	3.000000	64210	64210	1.000000	0.000000	38	26.106889	10.350644	0.396472	-516.278015	554.823669	-0.000000	11.782120	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-222/func/sub-222_task-rest_run-04_space-MNI152NLin6Asym_condition-rtpj_order-02_desc-denoised_bold_5mm.nii.gz
sub-222	01	vlpfc	240	52	64	54	3.000000	3.000000	3.000000	66546	66546	1.000000	0.000000	39	20.650987	9.391097	0.454753	-416.292694	513.174683	-0.000000	10.796148	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-222/func/sub-222_task-rest_run-01_space-MNI152NLin6Asym_condition-vlpfc_order-03_desc-denoised_bold_5mm.nii.gz
sub-222	02	both	240	52	64	54	3.000000	3.000000	3.000000	63041	63041	1.000000	0.000000	37	40.525822	17.924657	0.442302	-602.671021	703.622803	-0.000000	22.416717	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-222/func/sub-222_task-rest_run-02_space-MNI152NLin6Asym_condition-both_order-04_desc-denoised_bold_5mm.nii.gz
sub-225	04	sham	240	52	64	54	3.000000	3.000000	3.000000	70213	70213	1.000000	0.000000	37	13.158696	8.552828	0.649975	-211.074005	142.018494	0.000000	9.043180	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-225/func/sub-225_task-rest_run-04_space-MNI152NLin6Asym_condition-sham_order-01_desc-denoised_bold_5mm.nii.gz
sub-225	02	rtpj	240	52	64	54	3.000000	3.000000	3.000000	70478	70478	1.000000	0.000000	37	14.828011	8.513648	0.574160	-162.917221	174.485306	0.000000	9.012226	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-225/func/sub-225_task-rest_run-02_space-MNI152NLin6Asym_condition-rtpj_order-02_desc-denoised_bold_5mm.nii.gz
sub-225	03	vlpfc	240	52	64	54	3.000000	3.000000	3.000000	70547	70547	1.000000	0.000000	37	14.714968	8.588629	0.583666	-116.998268	128.543076	0.000000	9.046600	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-225/func/sub-225_task-rest_run-03_space-MNI152NLin6Asym_condition-vlpfc_order-03_desc-denoised_bold_5mm.nii.gz
sub-225	01	both	240	52	64	54	3.000000	3.000000	3.000000	70323	70323	1.000000	0.000000	38	13.276816	7.515031	0.566027	-116.068390	119.899948	-0.000000	7.873427	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-225/func/sub-225_task-rest_run-01_space-MNI152NLin6Asym_condition-both_order-04_desc-denoised_bold_5mm.nii.gz
sub-226	03	sham	240	52	64	54	3.000000	3.000000	3.000000	68757	68757	1.000000	0.000000	37	21.507999	12.425105	0.577697	-371.245575	436.791992	-0.000000	13.663499	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-226/func/sub-226_task-rest_run-03_space-MNI152NLin6Asym_condition-sham_order-01_desc-denoised_bold_5mm.nii.gz
sub-226	04	rtpj	240	52	64	54	3.000000	3.000000	3.000000	67744	67744	1.000000	0.000000	37	21.288849	11.828809	0.555634	-290.875854	334.914215	0.000000	12.896539	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-226/func/sub-226_task-rest_run-04_space-MNI152NLin6Asym_condition-rtpj_order-02_desc-denoised_bold_5mm.nii.gz
sub-226	01	vlpfc	240	52	64	54	3.000000	3.000000	3.000000	68005	68005	1.000000	0.000000	38	16.120649	9.195003	0.570387	-153.632050	256.813904	-0.000000	9.774527	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-226/func/sub-226_task-rest_run-01_space-MNI152NLin6Asym_condition-vlpfc_order-03_desc-denoised_bold_5mm.nii.gz
sub-226	02	both	240	52	64	54	3.000000	3.000000	3.000000	69219	69219	1.000000	0.000000	37	17.496617	9.435613	0.539282	-161.032547	228.338058	-0.000000	9.893956	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-226/func/sub-226_task-rest_run-02_space-MNI152NLin6Asym_condition-both_order-04_desc-denoised_bold_5mm.nii.gz
